year,week,total_specimens,n_a_2009_h1n1,n_a_h1,n_a_h3,n_a_subtyping_not_performed,n_a_unable_to_subtype,n_b,n_h3n2v,n_b_vic,n_b_yam,n_total_a,n_total_b
2011,22,2442,2,0,0,5,0,6,0,NA,NA,7,6
2011,23,2259,0,0,0,2,0,4,0,NA,NA,2,4
2011,24,2109,2,0,1,6,0,0,0,NA,NA,9,0
2011,25,1967,0,0,0,2,0,3,0,NA,NA,2,3
2011,26,1560,2,0,0,1,0,1,0,NA,NA,3,1
2011,27,1498,2,0,1,1,0,1,0,NA,NA,4,1
2011,28,1500,0,0,4,1,0,4,0,NA,NA,5,4
2011,29,1500,0,0,4,1,0,5,0,NA,NA,5,5
2011,30,1307,0,0,1,2,0,1,0,NA,NA,3,1
2011,31,1428,3,0,2,3,0,3,0,NA,NA,8,3
2011,32,1433,1,0,3,7,0,2,0,NA,NA,11,2
2011,33,1506,2,0,5,5,1,3,0,NA,NA,13,3
2011,34,1705,0,0,5,6,0,6,0,NA,NA,11,6
2011,35,1925,2,0,3,9,0,1,0,NA,NA,14,1
2011,36,2056,1,0,3,7,0,2,0,NA,NA,11,2
2011,37,2326,0,0,6,11,0,4,0,NA,NA,17,4
2011,38,2612,0,0,5,8,0,8,0,NA,NA,13,8
2011,39,2920,1,0,18,10,0,6,0,NA,NA,29,6
2011,40,3192,3,0,14,7,0,9,0,NA,NA,24,9
2011,41,3316,0,0,9,2,0,8,0,NA,NA,11,8
2011,42,3425,2,0,10,8,0,8,0,NA,NA,20,8
2011,43,3749,0,0,12,20,0,12,0,NA,NA,32,12
2011,44,4075,1,0,17,12,0,9,0,NA,NA,30,9
2011,45,4326,2,0,15,17,0,15,0,NA,NA,34,15
2011,46,4580,0,0,15,17,0,12,0,NA,NA,32,12
2011,47,4108,3,0,23,30,0,19,0,NA,NA,56,19
2011,48,4669,2,0,32,21,0,17,0,NA,NA,55,17
2011,49,4710,5,0,38,45,0,20,0,NA,NA,88,20
2011,50,4906,4,0,78,31,0,20,0,NA,NA,113,20
2011,51,5151,7,0,104,62,0,24,0,NA,NA,173,24
2011,52,5470,4,0,107,53,0,18,0,NA,NA,164,18
2012,1,5690,16,0,101,44,0,22,0,NA,NA,161,22
2012,2,5341,31,0,142,47,0,15,0,NA,NA,220,15
2012,3,5364,50,0,195,57,0,18,0,NA,NA,302,18
2012,4,5840,84,0,257,100,0,32,0,NA,NA,441,32
2012,5,6251,128,0,365,144,0,43,0,NA,NA,637,43
2012,6,6413,167,0,419,167,0,56,0,NA,NA,753,56
2012,7,7298,233,0,508,271,0,71,0,NA,NA,1012,71
2012,8,7596,319,0,690,356,0,78,0,NA,NA,1365,78
2012,9,8485,488,0,988,433,0,112,0,NA,NA,1909,112
2012,10,8459,538,0,1232,491,0,123,0,NA,NA,2261,123
2012,11,8822,599,0,1396,516,0,199,0,NA,NA,2511,199
2012,12,7974,445,0,1086,427,0,237,0,NA,NA,1958,237
2012,13,7450,311,0,719,332,0,244,0,NA,NA,1362,244
2012,14,6695,266,0,629,308,0,275,0,NA,NA,1203,275
2012,15,6304,188,0,591,212,0,298,0,NA,NA,991,298
2012,16,5689,119,0,540,201,0,314,0,NA,NA,860,314
2012,17,4980,74,0,361,151,0,274,0,NA,NA,586,274
2012,18,4522,53,0,299,119,0,252,0,NA,NA,471,252
2012,19,4061,33,0,229,88,0,266,0,NA,NA,350,266
2012,20,3811,23,0,162,69,0,254,0,NA,NA,254,254
2012,21,3729,11,0,76,69,0,260,0,NA,NA,156,260
2012,22,3347,3,0,78,56,0,228,0,NA,NA,137,228
2012,23,3055,7,0,45,44,0,197,0,NA,NA,96,197
2012,24,2898,2,0,52,56,0,179,0,NA,NA,110,179
2012,25,2529,2,0,36,30,0,103,0,NA,NA,68,103
2012,26,2255,0,0,17,22,0,113,0,NA,NA,39,113
2012,27,1970,1,0,15,18,0,59,0,NA,NA,34,59
2012,28,2052,4,0,33,15,0,41,1,NA,NA,52,41
